district,date,month,year,visitors
Wanaparthy ,"Sunday, December 1, 2019",December,2019,20556
Warangal (Rural),"Tuesday, January 1, 2019",January,2019,28700
Warangal (Rural),"Friday, February 1, 2019",February,2019,28800
Warangal (Rural),"Friday, March 1, 2019",March,2019,29000
Warangal (Rural),"Monday, April 1, 2019",April,2019,26900
Warangal (Rural),"Wednesday, May 1, 2019",May,2019,24900
Warangal (Rural),"Saturday, June 1, 2019",June,2019,27100
Warangal (Rural),"Monday, July 1, 2019",July,2019,28600
Warangal (Rural),"Thursday, August 1, 2019",August,2019,31600
Warangal (Rural),"Sunday, September 1, 2019",September,2019,32600
Warangal (Rural),"Tuesday, October 1, 2019",October,2019,31100
Warangal (Rural),"Friday, November 1, 2019",November,2019,32150
Warangal (Rural),"Sunday, December 1, 2019",December,2019,32050
Warangal (Urban),"Tuesday, January 1, 2019",January,2019,151545
Warangal (Urban),"Friday, February 1, 2019",February,2019,157755
Warangal (Urban),"Friday, March 1, 2019",March,2019,154305
Warangal (Urban),"Monday, April 1, 2019",April,2019,150425
Warangal (Urban),"Wednesday, May 1, 2019",May,2019,143230
Warangal (Urban),"Saturday, June 1, 2019",June,2019,144400
Warangal (Urban),"Monday, July 1, 2019",July,2019,145440
Warangal (Urban),"Thursday, August 1, 2019",August,2019,148030
Warangal (Urban),"Sunday, September 1, 2019",September,2019,151070
Warangal (Urban),"Tuesday, October 1, 2019",October,2019,147450
Warangal (Urban),"Friday, November 1, 2019",November,2019,153880
Warangal (Urban),"Sunday, December 1, 2019",December,2019,147700
Yadadri Bhongir,"Tuesday, January 1, 2019",January,2019,479293
Yadadri Bhongir,"Friday, February 1, 2019",February,2019,56525
Yadadri Bhongir,"Friday, March 1, 2019",March,2019,481923
Yadadri Bhongir,"Monday, April 1, 2019",April,2019,441150
Yadadri Bhongir,"Wednesday, May 1, 2019",May,2019,345790
Yadadri Bhongir,"Saturday, June 1, 2019",June,2019,370566
Yadadri Bhongir,"Monday, July 1, 2019",July,2019,332770
Yadadri Bhongir,"Thursday, August 1, 2019",August,2019,389010
Yadadri Bhongir,"Sunday, September 1, 2019",September,2019,366862
Yadadri Bhongir,"Tuesday, October 1, 2019",October,2019,381860
Yadadri Bhongir,"Friday, November 1, 2019",November,2019,365990
Yadadri Bhongir,"Sunday, December 1, 2019",December,2019,477635
